Data de Medição,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,VALE - ITABIRA,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
n,n,EAMA11,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,EAMA21,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,EAMA31,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,EAMA41,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
n,n,Qualidade do Ar,n,n,n,n,n,n,n,n,n,n,n,Meteorologia,n,n,n,n,n,n,n,Qualidade do Ar,n,n,n,n,n,n,n,n,n,n,n,Meteorologia,n,n,n,n,n,n,n,Qualidade do Ar,n,n,n,n,n,n,n,n,n,n,n,Meteorologia,n,n,n,n,n,n,n,Qualidade do Ar,n,n,n,n,n,n,n,n,n,n,n,Meteorologia,n,n,n,n,n,n,n
n,n,Ar Ambiente,n,n,n,n,n,n,n,n,n,n,n,Clima e Meteorologia,n,n,n,n,n,n,n,Ar Ambiente,n,n,n,n,n,n,n,n,n,n,n,Clima e Meteorologia,n,n,n,n,n,n,n,Ar Ambiente,n,n,n,n,n,n,n,n,n,n,n,Clima e Meteorologia,n,n,n,n,n,n,n,Ar Ambiente,n,n,n,n,n,n,n,n,n,n,n,Clima e Meteorologia,n,n,n,n,n,n,n
n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Velocidade Escalar do Vento,n,n,n,Direção Escalar do Vento,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Velocidade Escalar do Vento,n,n,n,Direção Escalar do Vento,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Velocidade Escalar do Vento,n,n,n,Direção Escalar do Vento,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Velocidade Escalar do Vento,n,n,n,Direção Escalar do Vento,n,n,n
n,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/0,0 m",n,Médias de 24 h Simples,n,"1 h/horária/0,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/0,0 m",n,Médias de 24 h Simples,n,"1 h/horária/0,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/0,0 m",n,Médias de 24 h Simples,n,"1 h/horária/0,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/0,0 m",n,Médias de 24 h Simples,n,"1 h/horária/0,0 m",n,Médias de 24 h Simples,n
n,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,n,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [m/s],Flag,Valor [m/s],Flag,Valor [°],Flag,Valor [°],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [m/s],Flag,Valor [m/s],Flag,Valor [°],Flag,Valor [°],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [m/s],Flag,Valor [m/s],Flag,Valor [°],Flag,Valor [°],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [m/s],Flag,Valor [m/s],Flag,Valor [°],Flag,Valor [°],Flag
2023-06-01 00:30:00,n,34.8,n,n,n,22,n,n,n,2,n,n,n,0.5,n,n,n,224.9,n,n,n,22.7,n,n,n,17,n,n,n,7,n,n,n,0.6,n,n,n,178,n,n,n,12.7,n,n,n,9,n,n,n,5.8,n,n,n,0.5,n,n,n,10.5,n,n,n,19.8,n,n,n,12,n,n,n,5,n,n,n,0.7,n,n,n,176.7,n,n,n
2023-06-01 01:30:00,n,30.1,n,n,n,17,n,n,n,5,n,n,n,0.5,n,n,n,214.6,n,n,n,14.2,n,n,n,7,n,n,n,9,n,n,n,0.5,n,n,n,180.7,n,n,n,10.5,n,n,n,6.9,n,n,n,3.8,n,n,n,0.5,n,n,n,339.1,n,n,n,19.7,n,n,n,14,n,n,n,3,n,n,n,0.7,n,n,n,191.8,n,n,n
