Data de Medição,VALE - ITABIRA,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
n,EAMA11,n,n,n,n,n,n,n,n,n,n,n,EAMA21,n,n,n,n,n,n,n,n,n,n,n,EAMA31,n,n,n,n,n,n,n,n,n,n,n,EAMA41,n,n,n,n,n,n,n,n,n,n,n
n,Qualidade do Ar,n,n,n,n,n,n,n,n,n,n,n,Qualidade do Ar,n,n,n,n,n,n,n,n,n,n,n,Qualidade do Ar,n,n,n,n,n,n,n,n,n,n,n,Qualidade do Ar,n,n,n,n,n,n,n,n,n,n,n
n,Ar Ambiente,n,n,n,n,n,n,n,n,n,n,n,Ar Ambiente,n,n,n,n,n,n,n,n,n,n,n,Ar Ambiente,n,n,n,n,n,n,n,n,n,n,n,Ar Ambiente,n,n,n,n,n,n,n,n,n,n,n
n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n
n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n
n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-05-01 00:30:00,27,n,n,n,16,n,n,n,n,n,n,n,25.7,n,n,n,23,n,n,n,7,n,n,n,13.9,n,n,n,5.8,n,n,n,4.4,n,n,n,14.8,n,n,n,13,n,n,n,3,n,n,n
2023-05-01 01:30:00,21,n,n,n,13,n,n,n,5,n,n,n,20.2,n,n,n,17,n,n,n,6,n,n,n,13.4,n,n,n,5.4,n,n,n,3.5,n,n,n,11.2,n,n,n,7,n,n,n,2,n,n,n
2023-05-01 02:30:00,19.5,n,n,n,12,n,n,n,5,n,n,n,19.6,n,n,n,19,n,n,n,9,n,n,n,8.1,n,n,n,5.6,n,n,n,2.5,n,n,n,8.2,n,n,n,8,n,n,n,2,n,n,n
2023-05-01 03:30:00,16.8,n,n,n,11,n,n,n,8,n,n,n,14,n,n,n,12,n,n,n,6,n,n,n,10.9,n,n,n,4.5,n,n,n,1.9,n,n,n,6.7,n,n,n,9,n,n,n,2,n,n,n
